184.182.240.211:4145, SOCKS4, 1656ms
181.233.100.100:8080, HTTP, 1659ms
212.39.114.139:5678, SOCKS4, 1692ms
177.125.144.94:1080, SOCKS4, 1729ms
179.27.86.36:4153, SOCKS4, 1785ms
101.36.104.239:10808, SOCKS5, 1797ms
195.62.50.141:8080, HTTP, 1800ms
109.123.251.109:1080, SOCKS5, 1819ms
177.26.112.65:5678, SOCKS4, 1830ms
103.82.20.76:8080, HTTP, 1832ms
187.86.153.254:30660, SOCKS4, 1845ms
103.146.38.121:8086, HTTP, 1867ms
190.18.170.230:5678, SOCKS4, 1875ms
125.25.82.207:5678, SOCKS4, 1919ms
103.149.75.82:1080, SOCKS4, 1930ms
199.66.182.243:4145, SOCKS4, 1936ms
113.53.29.228:13629, SOCKS4, 1953ms
1.179.172.45:31225, SOCKS4, 1967ms
83.218.186.22:5678, SOCKS4, 1983ms
124.248.164.36:1080, SOCKS4, 1987ms
170.168.101.28:8080, HTTP, 2001ms
153.72.68.0:8080, HTTP, 2024ms
103.197.242.106:1080, SOCKS4, 2031ms
103.213.97.78:80, HTTP, 2046ms
103.174.122.215:3128, HTTP, 2065ms
199.66.183.251:4145, SOCKS4, 2073ms
117.198.221.34:4153, SOCKS4, 2078ms
110.235.252.74:1080, SOCKS5, 2146ms
147.45.60.124:1082, SOCKS4, 2201ms
47.91.104.88:3128, HTTP, 2226ms
204.152.192.24:10808, HTTP, 2241ms
50.250.205.21:32100, SOCKS4, 2265ms
150.136.58.221:1080, SOCKS5, 2329ms
96.36.50.99:39593, SOCKS4, 2347ms
194.163.174.78:1080, SOCKS5, 2348ms
124.41.225.101:1080, SOCKS5, 2377ms
103.142.255.32:1080, SOCKS5, 2382ms
31.202.84.127:38777, HTTP, 2390ms
191.44.125.8:8080, HTTP, 2407ms
103.154.152.104:8090, HTTP, 2408ms
72.49.49.11:31034, SOCKS4, 2485ms
43.160.255.142:7890, HTTP, 2525ms
123.231.252.218:8080, HTTP, 2618ms
181.214.29.82:999, HTTP, 2621ms
187.251.230.15:8080, HTTP, 2623ms
37.131.164.94:59341, SOCKS4, 2677ms
109.172.55.227:1082, SOCKS5, 2680ms
125.228.94.232:4145, SOCKS4, 2682ms
42.96.18.62:1311, HTTP, 2709ms
181.204.39.202:53740, SOCKS4, 2714ms
185.244.158.4:3129, SOCKS4, 2725ms
93.184.7.26:1080, SOCKS4, 2736ms
37.187.109.70:10111, HTTP, 2768ms
119.148.7.10:22122, SOCKS5, 2772ms
130.193.123.34:5678, SOCKS4, 2812ms
185.190.90.2:4145, SOCKS4, 2839ms
103.172.71.5:8080, HTTP, 2849ms
202.175.221.173:4153, SOCKS4, 2885ms
182.53.96.56:4145, SOCKS4, 2909ms
154.113.167.70:5678, SOCKS4, 2913ms
170.80.221.192:4153, SOCKS4, 2919ms
103.172.71.209:1080, HTTP, 2952ms
83.147.216.208:1080, SOCKS5, 2966ms
213.165.185.211:4153, SOCKS4, 2983ms
45.174.168.12:999, HTTP, 3016ms
183.80.130.9:4145, SOCKS4, 3019ms
