================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
97.74.87.226:80 (http) | 897ms | Unknown
18.188.53.175:29983 (http) | 907ms | Unknown
154.65.39.8:80 (http) | 907ms | Unknown
77.238.79.111:5678 (socks4) | 912ms | Unknown
121.169.46.116:1090 (socks5) | 927ms | KR
197.255.125.12:80 (http) | 950ms | Unknown
170.168.101.28:8080 (http) | 957ms | KZ
144.91.111.48:1088 (socks5) | 968ms | FR
139.59.1.14:8080 (http) | 970ms | GB
103.65.237.92:5678 (http) | 970ms | Unknown
108.136.140.236:34824 (http) | 978ms | Unknown
202.58.77.235:8080 (http) | 986ms | ID
165.99.102.66:1452 (http) | 987ms | ID
144.24.111.128:1088 (socks5) | 994ms | IN
34.101.184.164:3128 (http) | 995ms | ID
108.136.140.236:8028 (http) | 1006ms | Unknown
34.44.49.215:80 (http) | 1018ms | Unknown
123.58.219.171:10808 (socks5) | 1020ms | HK
165.154.7.156:8888 (http) | 1024ms | HK
103.82.246.19:6080 (http) | 1031ms | ID
201.222.50.218:80 (http) | 1039ms | Unknown
59.110.63.234:80 (http) | 1043ms | Unknown
103.149.75.82:1080 (socks4) | 1067ms | BD
180.211.93.105:8080 (http) | 1071ms | ID
125.25.82.207:5678 (socks4) | 1072ms | TH
47.81.56.193:8888 (http) | 1072ms | TH
184.182.240.211:4145 (socks4) | 1075ms | US
203.19.38.114:1080 (http) | 1079ms | Unknown
72.195.114.169:4145 (socks4) | 1086ms | US
115.127.31.66:8080 (http) | 1091ms | Unknown
50.238.47.86:32100 (socks4) | 1094ms | US
103.194.175.51:7777 (http) | 1097ms | ID
163.181.207.170:9999 (http) | 1099ms | VN
128.199.202.122:8080 (http) | 1105ms | GB
124.248.164.36:1080 (socks4) | 1120ms | KH
196.223.129.21:80 (http) | 1126ms | Unknown
163.181.207.213:9999 (http) | 1127ms | Unknown
103.28.37.131:3128 (http) | 1135ms | VN
103.197.242.106:1080 (socks4) | 1148ms | KH
38.49.210.79:40000 (socks5) | 1161ms | CA
113.204.79.230:9091 (http) | 1206ms | Unknown
76.26.114.253:39593 (socks4) | 1225ms | US
173.181.143.245:80 (http) | 1236ms | Unknown
18.170.25.193:24528 (http) | 1239ms | Unknown
139.255.36.82:2080 (socks4) | 1240ms | ID
124.105.40.93:1080 (socks4) | 1243ms | PH
103.18.47.79:4145 (socks4) | 1247ms | ID
51.16.4.39:22818 (http) | 1256ms | T1
45.146.163.31:80 (http) | 1274ms | Unknown
175.100.37.171:1080 (socks4) | 1275ms | KH
103.174.122.197:8199 (socks5) | 1295ms | ID
184.182.240.12:4145 (socks4) | 1321ms | US
189.203.181.34:1080 (socks4) | 1323ms | MX
5.45.126.128:8080 (http) | 1342ms | Unknown
38.210.179.30:999 (http) | 1350ms | MX
202.79.26.242:1080 (socks5) | 1351ms | KH
156.38.112.11:80 (http) | 1353ms | Unknown
36.88.102.63:80 (http) | 1356ms | Unknown
125.24.156.113:7080 (socks5) | 1386ms | TH
141.98.153.86:80 (http) | 1418ms | Unknown
45.194.33.12:30001 (socks5) | 1435ms | Unknown
163.181.207.169:9999 (http) | 1448ms | VN
184.185.2.12:4145 (socks5) | 1478ms | US
101.36.104.239:10808 (socks5) | 1489ms | JP
13.126.183.60:9155 (http) | 1499ms | Unknown
200.14.57.4:4153 (socks4) | 1502ms | BR
212.39.114.139:5678 (socks4) | 1533ms | BA
16.28.32.67:31224 (http) | 1561ms | Unknown
5.161.50.82:8118 (http) | 1562ms | T1
45.174.243.24:999 (http) | 1571ms | MX
88.218.206.170:22 (socks5) | 1598ms | T1
190.220.1.173:35376 (socks4) | 1652ms | AR
77.50.235.130:1080 (socks5) | 1653ms | RU
45.43.60.220:8080 (http) | 1681ms | JP
217.182.195.221:30008 (http) | 1691ms | T1
18.188.53.175:5555 (http) | 1697ms | Unknown
51.34.28.236:443 (https) | 1706ms | Unknown
103.26.209.206:1080 (socks4) | 1735ms | ID
170.80.221.192:4153 (socks4) | 1736ms | Unknown
200.105.192.6:5678 (socks4) | 1745ms | BO
177.54.239.13:4145 (socks4) | 1748ms | BR
190.2.104.201:4153 (socks4) | 1752ms | AR
154.79.251.168:1080 (socks4) | 1761ms | KE
89.151.134.157:3629 (socks4) | 1763ms | RU
202.179.83.169:51951 (socks4) | 1798ms | IN
81.12.157.98:5678 (socks4) | 1824ms | RO
190.18.170.230:5678 (socks4) | 1841ms | AR
51.16.4.39:49696 (http) | 1843ms | Unknown
89.191.229.141:1080 (socks5) | 1862ms | RU
174.138.119.88:80 (http) | 1905ms | Unknown
109.245.110.145:4145 (socks4) | 1908ms | Unknown
116.197.129.170:4145 (socks4) | 1954ms | ID
102.214.147.147:4153 (socks4) | 1960ms | ZA
217.182.195.221:30004 (http) | 1963ms | T1
51.84.101.19:9223 (http) | 1967ms | T1
34.43.46.91:80 (http) | 1970ms | US
110.38.234.74:1080 (socks4) | 1980ms | PK
103.150.64.69:8090 (http) | 1994ms | BD
177.152.106.74:1080 (socks4) | 1997ms | BR
38.46.214.193:1080 (http) | 2012ms | ID
121.101.129.103:8080 (http) | 2014ms | ID
27.147.153.179:1080 (socks4) | 2017ms | BD
112.78.138.164:5678 (socks4) | 2021ms | ID
34.43.46.91:443 (http) | 2043ms | US
182.93.75.254:1080 (socks4) | 2047ms | NP
125.25.57.57:4153 (socks4) | 2067ms | TH
13.246.6.135:23553 (http) | 2079ms | Unknown
103.102.141.39:4145 (socks4) | 2096ms | ID
103.183.13.94:8080 (http) | 2104ms | ID
185.135.69.34:80 (http) | 2109ms | Unknown
150.136.58.221:1080 (socks5) | 2145ms | US
190.111.218.141:999 (http) | 2219ms | AR
8.213.151.128:3128 (http) | 2244ms | Unknown
18.170.25.193:7451 (http) | 2270ms | T1
103.18.79.173:1080 (socks4) | 2305ms | ID
186.216.208.98:3128 (http) | 2318ms | BR
103.38.183.18:1088 (socks4) | 2322ms | IN
195.19.217.200:3128 (http) | 2328ms | RU
47.176.213.210:39593 (socks4) | 2341ms | US
122.54.119.79:8080 (http) | 2348ms | PH
190.97.239.40:999 (http) | 2359ms | VE
130.110.103.245:3128 (http) | 2388ms | SA
158.180.19.230:1080 (http) | 2415ms | DE
50.250.205.21:32100 (socks4) | 2431ms | US
45.61.129.165:9050 (socks5) | 2434ms | T1
54.215.41.74:47117 (http) | 2510ms | T1
47.243.92.199:3128 (http) | 2525ms | Unknown
61.158.175.38:9002 (http) | 2572ms | Unknown
181.129.182.138:5678 (socks4) | 2574ms | CO
103.18.205.162:8080 (http) | 2577ms | BD
54.180.117.151:55216 (http) | 2584ms | T1
138.2.64.185:8118 (http) | 2589ms | Unknown
87.228.228.101:4145 (socks4) | 2593ms | CY
114.9.55.102:1081 (socks4) | 2622ms | ID
190.12.150.244:999 (http) | 2667ms | EC
96.44.137.126:8118 (http) | 2695ms | CA
200.16.211.68:4153 (socks4) | 2697ms | AR
38.76.138.129:999 (http) | 2697ms | VE
101.255.32.43:8080 (http) | 2720ms | ID
119.40.98.29:8069 (socks4) | 2774ms | MN
185.200.37.231:8686 (http) | 2777ms | TR
47.91.65.23:3128 (http) | 2795ms | DE
130.193.123.34:5678 (socks4) | 2816ms | AM
45.198.32.235:8085 (http) | 2817ms | ID
5.95.121.180:4153 (socks4) | 2858ms | IT
181.78.207.50:999 (http) | 2868ms | EC
77.65.50.118:34159 (socks4) | 2882ms | PL
98.170.57.231:4145 (socks4) | 2893ms | US
49.148.17.137:9999 (http) | 2977ms | PH
103.84.228.12:3128 (http) | 2979ms | ID
181.204.39.202:53740 (socks4) | 2989ms | CO
123.231.230.58:31196 (socks4) | 2989ms | ID
38.50.165.126:999 (http) | 2995ms | DO
103.194.46.99:8082 (http) | 3048ms | ID
18.61.3.91:55954 (http) | 3067ms | Unknown
43.248.27.11:54730 (socks4) | 3097ms | ID
45.230.170.30:999 (http) | 3101ms | VE
202.183.236.220:8080 (http) | 3109ms | TH
103.156.16.235:8818 (http) | 3129ms | ID
203.81.81.226:8055 (http) | 3135ms | MM
185.27.144.129:999 (http) | 3136ms | DO
217.24.245.58:8079 (http) | 3137ms | AL
18.60.247.31:46899 (http) | 3147ms | T1
34.84.162.206:38080 (http) | 3185ms | JP
15.135.215.62:9963 (http) | 3198ms | T1
